id;titulo;autores;area;ignorar
241030;A vulnerabilidade das crianças e adolescente: vítimas de abuso e violência;Elizabeth Aléxa Oliveira Silva, Adailton Guilherme Oliveira Silva;Ciências Humanas;n
241084;Aborto Legal Vs Aborto Ilegal: com base em um caso em Santa Catarina em junho de 2022;Elizabeth Aléxa Oliveira Silva;Ciências Humanas;n
241296;Por que a maternidade se tornou compulsória e a paternidade se tornou facultativa?;Elizabeth Aléxa Oliveira Silva;Ciências Humanas;n
241367;AS IMPLICAÇÕES DO ABUSO MIDIÁTICO NA CONSTRUÇÃO DA SUBJETIVIDADE DOS ADOLESCENTES NO SÉCULO XXI;Letícia Mirelly da Silva Costa, Ana Clara Alves dos Santos, Bianca de Melo Ferreira, Claricy Araújo Rodrigues, João Emanoel Ferreira Costa, Jorge Edielson Costa;Ciências Humanas;n
241780;A MÚSICA COMO INSTRUMENTO DE VALORIZAÇÃO CULTURAL A PARTIR DA SOCIOLINGUÍSTICA;Marynna Santos Moraes;Linguística, Letras e Artes;n
242537;A Educação como Ferramenta do Império Inca;Eliabe Deyvison Leôncio da Silva Sousa;Ciências Humanas;n
242542;PARTICULARIDADES EXISTENTES NO REGIME DE BENS NO BRASIL;José Tobias do Nascimento Silva;Ciências Humanas;n
242576;A POSITIVAÇÃO DO DIREITO PELA INFLUÊNCIA DO PODER POLÍTICO;José Tobias do Nascimento Silva, Valmir Alves Teotônio Junior;Ciências Humanas;n
242791;Proposta de um abridor de latas seguindo os princípios do Design Inclusivo;Hércules Manoel Silva Monteiro, Emilly Lorena Monteiro da Silva, Marcos Levi da Silva Ramos, Izabel Marluce Silva Lemos, Rosimeri Franck Pichler;Ciências Sociais Aplicadas;n
243499;ASPECTOS BIOPSICOLÓGICOS NO PROCESSO DE ENVELHECIMENTO ASSOCIADO ÀS EMOÇÕES;Letícia Mirelly da Silva Costa, Deivson Marinho Correia;Ciências Humanas;n
243741;O Moderno e o Inefável na poesia de Cecília Meireles;Guilherme da Silva Vale;Linguística, Letras e Artes;n
243929;A utilização das tecnologias no ensino de geografia no Programa Institucional de Bolsa de Iniciação à Docência - PIBID - na pandemia;Vitória Ribeiro da Silva, Thaís Maria de Almeida Costa, Stephane Aureliano Cordeiro, Denize Thomaz de Aquino;Ciências Humanas;n
243945;Práticas de ensino inovadoras e sua associação significativa em escolas de ensino fundamental do 6° ao 9° ano;Thaís Maria de Almeida Costa, Vitória Ribeiro da Silva, Stephane Aureliano Cordeiro;Ciências Humanas;n
243948;SUPORTE BÁSICO DE VIDA COMO DISCIPLINA OBRIGATÓRIA NOS CURSOS DE FISIOTERAPIA EM PERNAMBUCO;Aline Antônia dos Santos, Gizelia Ester Vitória da Silva Paz, Tamires Paula da Silva, Manoel Patrocínio Ferreira Júnior, Renata Soraya Coutinho, Rita di Cássia de Oliveira Angelo;Ciências da Saúde;n
243991;CULTURA ESCOLAR, APRENDIZAGEM E PRÁTICA DOCENTE: RETRATOS DE UMA VIVÊNCIA EDUCACIONAL PANDÊMICA;Aline Milena Borges da Silva Dias, Carolina Anastácia de Souza Pedrosa;Linguística, Letras e Artes;n
244006;A AGENDA SOBRE A ADOÇÃO DE POLÍTICAS DE AÇÃO AFIRMATIVA NA  PÓS-GRADUAÇÃO PÚBLICA BRASILEIRA;Lucas Manoel da Silva Couto, Fernando da Silva Cardoso;Ciências Sociais Aplicadas;n
244429;O DIREITO AO ESQUECIMENTO E SUA APLICAÇÃO A “CULTURA DO CANCELAMENTO DIGITAL” NA ERA DA INFORMAÇÃO;Enéas Cardoso Neto, Mayara Lima Cremonesi;Ciências Sociais Aplicadas;n
245106;O PRECONCEITO E A REPREENSÃO AO CARIMBÓ ;Maria Paula da Silva, Grasiely Bezerra dos Santos Silva, Maria Lana Monteiro;Ciências Humanas;n
245111;DIFICULDADES E ESTRATÉGIAS DE SUPERAÇÃO NO ENSINO REMOTO DURANTE A PANDEMIA DE COVID-19;José Armando Ferreira de Lima, Vera Lúcia Chalegre de Freitas;Ciências Biológicas;n
245112;CHARGES, TIRINHAS E O CONTEÚDO SOBRE GUERRA FRIA: UTILIZAÇÃO DE FONTES ICONOGRÁFICAS NO ENSINO DE HISTÓRIA;Maria Paula da Silva, José Matheus Menezes da Silva, Bruno Augusto Dornelas Câmara;Ciências Humanas;n
245604;IMPORTÂNCIA ECOLÓGICA, MÉDICA E DO MANEJO ADEQUADO EM ARACNÍDEOS DAS ORDENS ARANEAE E SCORPIONES NA BAHIA;Rafael Oliveira da Silva;Ciências Biológicas;n
245691;Hatshepsut (VIII Dinastia) e outras rainhas no poder egípcio: A figura feminina presente no Egito Antigo;Maria Paula da Silva;Ciências Humanas;n
245883;ANÁLISE DO MODELO DE EDUCAÇÃO DO PROJETO PARLAMENTO JOVEM MINAS À LUZ DE PAULO FREIRE;Zara Rego de Souza, Ricardo Luiz Alves;Ciências Humanas;n
246104;RESPOSTA FENOLÓGICA DA MAMONA (RICINUS COMMUNIS L.) CULTIVADA EM MATÉRIA ORGÂNICA DO MANEJO DE CAPRINO;Daniel de Souza Santos, Rubens Pessoa de Barros, Jéssia Ellem Cunha Barbosa, Giselle Silva de Souza, Leonardo da Silva Santos;Ciências Agrárias;n
246221;SAMBA E RELIGIOSIDADE AFRO-BRASILEIRA: CLARA NUNES, A FILHA DE OGUM COM IANSÃ;Matheus Siqueira Barboza, Maria Lana da Silva Monteiro;Ciências Humanas;n
246358;EDUCAÇÃO EM SAÚDE BUCAL SOBRE TRAUMATISMO OROFACIAL DE CRIANÇAS EM AMBIENTE ESCOLAR: RELATO DE EXPERIÊNCIA ;Thays Maria de Oliveira Almeida, Chayane Gomes Muniz, Janaina Santana Matilde da Silva, Maria Fernanda de Britto Cabral, Milena Lima da Silva, Wesllayne Souza Lima, Geisa Aiane de Morais Sampaio;Ciências da Saúde;n
246554;A SUPREMA CORTE BRASILEIRA:  UM RECORTE ACERCA DO PODER E DA IMPPORTÂNCIA DO STF;BRUNO ERICK SILVA MARTINS;Ciências Sociais Aplicadas;n
246647;PRÁTICA PEDAGÓGICA SOBRE IMPORTÂNCIA DA MICROBIOLOGIA NO COTIADIANO: RELATO DE EXPERIÊNCIA;Dayane dos Santos Silva, Flávia da Silva Lima, Karllisson Victor Barbosa, Micaelle Glícia dos Santos Silva, Wesley de Oliveira Galdino, Esmeralda Aparecida Porto Lopes;Ciências Biológicas;n
246698;Hipotireoidismo canino : Relato de caso;Jullyana Roberta Brasileiro Alves Pereira, Breno Menezes dos Santos;Ciências Agrárias;n
246991;Ética profissional e atuação de psicólogos em comunidades terapêuticas: um relato de caso;Sandy Emanoelly dos Santos, Morgana Nathália Napoleão Ferreira, Paula Letícia Almeida de Siqueira, Isabelle Gomes Ferraz Álvares, Érika de Sousa Mendonça;Ciências Humanas;n
247022;CUBO DE RUBIK: CONTRIBUIÇÕES NO PROCESSO DE DESENVOLVIMENTO DO RACIOCÍNIO LÓGICO-MATEMÁTICO NO ENSINO BÁSICO;Joelyton Torres Monteiro, José Irinel de Santana Azevedo;Ciências Exatas e da Terra;n
247083;ANÁLISE DA ASSIMETRIA FLUTUANTE DE Pachira aquatica EM ESPAÇO PÚBLICO DE ARAPIRACA – AL;Daniel de Souza Santos, Rosineide Nascimento da Silva, Yara Janaina Araujo Santos, Anny Gleicy Damasceno Santos;Ciências Biológicas;n
247482;Limites e possibilidades de superação do ensino remoto na trama da vulnerabilidade social;Cintia Vitória da Silva Souza, Vera Lúcia Chalegre  de Freitas;Ciências Biológicas;n
247506;Prevenção da pré-eclâmpsia na gestação: ênfase na assistência prestada pelo enfermeiro na estratégia saúde da família  ;Teresa Raquel Costa Marques, José Filipe Alves da Rocha;Ciências da Saúde;n
247530;Desafios enfrentados pelo enfermeiro da estratégia saúde da família frente á consulta de puericultura em tempos de pandemia ;Teresa Raquel Costa Marques, José Filipe Alves da Rocha;Ciências da Saúde;n
247581;A COLONIALIDADE DO PODER E DO SABER: QUESTÕES PARA PENSAR O ENSINO JURÍDICO EM PERNAMBUCO ;Beatriz Maurício Torres Macedo, Fernando da Silva Cardoso;Ciências Humanas;n
247597;Perspectiva Jurídica acerca da nova caderneta da gestante como incentivo à violência obstétrica;Dayse Fabianne Zacarias da Silva;Ciências Sociais Aplicadas;n
247742;Estágio Supervisionado no Ensino Fundamental da Rede Municipal em Salvaterra: Relato de Experiência ;Railson Figueiredo dos Santos;Ciências Biológicas;n
247774;SÍNDROME DOLOROSA MIOFASCIAL CRÔNICA EM CABEÇA E PESCOÇO: REVISÃO DE LITERATURA;Bruna Lopes Donato, Nathália Gomes Buarque Rodrigues, Mariana Barbosa da Luz de Santana, Matheus Eduardo da Silva Paz, Alice Cavalcanti Vilanova, Fábio Andrey da Costa Araújo, Fernanda Souto Maior dos Santos Araújo;Ciências da Saúde;n
247783;ERLIQUIOSE CANINA SIMULTÃNEA À PROCESSO INFECCIOSO;Mírian Mendes Barbosa, Pedro Henrique Ferreira Rosado Sampaio, Sthênio Braga do Nascimento;Ciências Agrárias;n
247821;DIÁLOGO E COMUNICAÇÃO COMO FORMA DE INCLUSÃO DOS ALUNOS COM NECESSIDADES EDUCACIONAIS ESPECIAIS: EM QUE LÍNGUA DEVEMOS FALAR?;Ângela Márcia dos Santos Façanha;Linguística, Letras e Artes;n
247848;A importância da monitoria para o aprendizado de química e formação do monitor: um relato de experiência;Émily Rosane de Melo Almeida, Aline Alves Cavalcanti, Brenda Adriele Barros Alves, Victor Emannuel Pereira Silva, Ana Carolina de Carvalho Correia;Ciências Biológicas;n
247925;A IMPORTÂNCIA DA FISIOTERAPIA NAS MANIFESTAÇÕES CLIMATÉRICAS: UMA REVISÃO NARRATIVA DA LITERATURA;Edjane Maria de Oliveira, Sérgio William da Silva Santos, Robson Feliciano da Silva, Sabrina da Conceição Pereira;Ciências da Saúde;n
247992;OS IMPACTOS DO SETOR MINERAL NA MESORREGIÃO E MICRORREGIÃO DE BELÉM – NO MUNICÍPIO DE BARCARENA (PA)  ;Arthur Igreja dos Santos, João Márcio Palheta da Silva;Ciências Humanas;n
247999;DESAFIOS E PERSPECTIVAS NA LUTA CONTRA O CÂNCER DE MAMA NO BRASIL;Maria Regina de Oliveira Silva, Jéssica Celerino dos Santos, Rafael David Souto de Azevedo, Sinara Mônica Vitalino de Almeida;Ciências Biológicas;n
248002;SUICÍDIO ENTRE ADOLESCENTES E JOVENS  UM DESAFIO CONTEMPORÂNEO;Larice Leite Cabral, Ladimilson Ferreira de Araujo Júnior, Artur Cesar de Oliveira Miranda, Efigênia de Souza Barros Siqueira, Isabela Amblard;Ciências da Saúde;n
248043;A IMPORTÂNCIA DA ROTINA DE CUIDADOS COM A PELE: UM RELATO DE EXPERIÊNCIA  EXTENSIONISTA ;Joana Siqueira de Góis Rodrigues, Maria Aleide Angelina da Silva Lima, Allana Sabrina Alves Freires, Natalie Emanuelle Ribeiro Rodrigues, Priscilla Barbosa Sales de Albuquerque;Ciências Biológicas;n
248093;IMPACTOS DO ENSINO HÍBRIDO NO CONHECIMENTO PRÁTICO EM ENFERMAGEM     ;Alice Karla da Silva Ourives, Beatriz Theresa Pascon, Ryanne Carolynne Marques Gomes Mendes, Silmar Maria da Silva, Thaís Araújo da Silva;Ciências da Saúde;n
248098;AVALIAÇÃO IN VITRO DO POTENCIAL ACARICIDA DA PLANTA MEDICINAL PLECTRANTHUS AMBOINICUS CONTRA O CARRAPATO DE BOVINOS;Eduardo Henrique Amorim Silva, Renata Silva Brito, Lucas dos Santos Pereira, José Eduardo Cordeiro Costa dos Santos, Lucas Azevedo dos Santos, Gílcia Aparecida de Carvalho;Ciências Agrárias;n
248119;O MITO DA DEMOCRACIA LEGAL E A LEGITIMAÇÃO DA “LGBTFOBIA CORDIAL” CONTRA MULHERES TRANSEXUAIS E TRAVESTIS;Beatriz Maurício Torres Macedo, Fabrício Rodrigues da Silva;Ciências Humanas;n
248141;A importância do PIBID na formação inicial de estudantes dos cursos de licenciaturas em tempos de pandemia;Juscelio Pimentel da Silva, Janielly Ferreira de Figueroa;Ciências Humanas;n
248374;ANÁLISE ESTATÍSTICA OBTIDA ATRAVÉS DOS RESULTADOS ENCONTRADOS NO PERFIL DO INSTAGRAM DO PROJETO DE EXTENSÃO BELEZAS DO AGRESTE 2.0 DA UPE CAMPUS GARANHUNS;Bruna Vitória Pereira de Santana, Jaine Souto de Albuquerque, Larice Leite Cabral, Natalie Emanuelle Ribeiro Rodrigues, Priscilla Barbosa Sales de Albuquerque;Ciências da Saúde;n
248394;JOGOS AFRICANOS: CONTRIBUIÇÕES NO PROCESSO DE VALORIZAÇÃO DO POVO NEGRO;José Irinel de Santana Azevedo, Joelyton Torres Monteiro e Hidelbrando Lino de Albuquerque;Ciências Exatas e da Terra;n
248574;ESTUDOS DE INTERAÇÃO ENTRE DERIVADOS HETEROCÍCLICOS NITROGENADOS E BIOMOLÉCULAS;Jéssica Celerino dos Santos, Josival Emanuel Ferreira Alves, Josefa Gerlane da Silva, Rafael David Souto de Azevedo, Sinara Mônica Vitalino de Almeida;Ciências Biológicas;n
248689;A IMPORTÂNCIA DO ENSINO DE BEM-ESTAR ANIMAL E POSSE RESPONSÁVEL NA EDUCAÇÃO BÁSICA PARA A PROMOÇÃO DA SAÚDE PÚBLICA;Rhamayanne Rayssa de Melo Ferreira, Thainá Fortaleza Spinelli de Freitas, Gabriela Maria Bastos dos Santos, Gleyce Kelle Basílio dos Santos, Jaqueline Fernanda Medeiros da Silva, Isabela Regina de Freitas Souza, Kyldere Valter dos Santos Silvestre, Jadson Vieira de Melo, Mírian Mendes Barbosa, Mariana das Neves Chagas, Silvia Elaine Rodolfo de Sá Lorena;Ciências Agrárias;n
248707;A IMAGEM CORPORAL INFLUENCIADA PELA MÍDIA EM ADOLESCENTES DO SÉC XXI;Vivian Araújo Freitas, Isabela de Lavor Rocha, Julia Katrine Lopes Bezerra, Emili Ferreira de Oliveira Vasconcelos, Isabelle Karolinne Galvão Lira, Jullyane Chagas Barboza Brasilino;Ciências Humanas;n
248743;RAINHAS MEDIEVAIS NO ENSINO DE HISTÓRIA: UMA ANÁLISE DE FIGURAS FEMININAS ATRELADAS AO PODER POR MEIO DA OBRA “ALEXÍADA” DA PRINCESA BIZANTINA, ANA COMNENA;Sabrina Espíndola Santos;Ciências Humanas;n
248762;O SURDO E O MERCADO DE TRABALHO: OS DESAFIOS DA INSERÇÃO  ;José Cláudio Ferreira dos Santos Silva;Ciências Humanas;n
248857;O ANONIMATO VIRTUAL E OS DELITOS SEXUAIS CONTRA ADOLESCENTES: UM ESTUDO ETNOGRÁFICO VIRTUAL ;Alyson Henrique Silva do Nascimento Batista, Amana Camile Amaral Pinheiro de Siqueira, Marina Galvão Tavares de Oliveira Mendonça;Ciências Sociais Aplicadas;n
248859;PRÁTICA PROFISSIONAL EM SAÚDE: UM RELATO DE EXPERIENCIA DA AÇÃO EM SAÚDE SOBRE ANQUILOGLOSSIA;Lucas Dantas Virginio, Abraão Teixeira Soares, Igor de Albuquerque Monteiro, Bruna Bezerra Amaral, Moan Jéfter Fernandes Costa, Renata de Oliveira Cartaxo;Ciências da Saúde;n
248920;TRATAMENTO CIRÚRGICO DAS FISSURAS LÁBIO-PALATAIS: UMA REVISÃO DA LITERATURA;Joice Catiane Soares Martins, Joana Beatriz de Lima, Brenda Alencar Araújo Souza, Giovanna Jully de Oliveira Nascimento, Sílvia Cristina Silva Rodrigues Camêlo, Jéssica Tainá Ferreira Neves, Chayane Gomes Muniz, Luedyna Rayane Rodrigues Leite, Janaina Santana Matilde da Silva, Renata de Albuquerque Cavalcanti Almeida, Fabrício Souza Landim, Fábio Andrey da Costa Araújo;Ciências da Saúde;n
248938;RESISTÊNCIA BACTERIANA A MEDICAÇÕES EM AMBIENTE HOSPITALAR;Marcio Michael Pontes, Daniel Medeiros Nunes, Elisangela Ramos Castanha;Ciências Biológicas;n
248943;PERCEPÇÕES E CRENÇAS DE DOCENTES DO ENSINO FUNDAMENTAL I SOBRE POSTURA CORPORAL E SUA RELAÇÃO COM O AMBIENTE ESCOLAR;Gabriel Moreira Lino, Aparecida Maria Bernardo Matos, Rita di Cássia de Oliveira Angelo;Ciências da Saúde;n
248956;A PSICOLOGIA DO TRABALHO NO SERVIÇO DE ATENÇÃO PSICOLÓGICA DA UPE: AMPLIAÇÃO DAS POSSIBILIDADES DE INTERVENÇÃO E DE PRODUÇÃO DO CONHECIMENTO;Maria Catarina Félix da Silva, Juliano Almeida Bastos;Ciências da Saúde;n
248963;HANS STADEN E O CHOQUE DE CULTURAS: DESVIOS E ENCONTROS;Antônio Lourenço de Melo, Moisés Monteiro de Melo Neto;Linguística, Letras e Artes;n
249004;PRINCIPAIS COMPLICAÇÕES CIRÚRGICAS NA REMOÇÃO DE TERCEIROS MOLARES: UMA REVISÃO INTEGRATIVA;Dayanne Larissa Ferreira de Santana, Rayza Dayane Silva de Mendonça, Talita Álvares do Nascimento, José Thomas Azevedo de Queiroz, Bruna Thaís Santos da Rocha, Patrícia Sthefânia Mulatinho Paiva, Ana Carolina Soares de Andrade, Marcela Côrte Real Fernandes, Ricardo Eugenio Varela Ayres de Melo;Ciências da Saúde;n
249008;INTERFERÊNCIAS DA PERDA DENTÁRIA NA DISFUNÇÃO TEMPOROMANDIBULAR: REVISÃO DE LITERATURA;Dayanne Larissa Ferreira de Santana, Rayza Dayane Silva de Mendonça, Talita Álvares do Nascimento, José Thomas Azevedo de Queiroz, Bruna Thaís Santos da Rocha, Patrícia Sthefânia Mulatinho Paiva, Ana Carolina Soares de Andrade, Marcela Côrte Real Fernandes, Ricardo Eugenio Varela Ayres de Melo;Ciências da Saúde;n
249010;COMPLICAÇÕES DO USO DA SOLUÇÃO DE CARNOY NO TRATAMENTO COADJUVANTE DE CISTOS E TUMORES ODONTOGÊNICOS: UMA REVISÃO INTEGRATIVA;Dayanne Larissa Ferreira de Santana, Rayza Dayane Silva de Mendonça, Talita Álvares do Nascimento, José Thomas Azevedo de Queiroz, Bruna Thaís Santos da Rocha, Patrícia Sthefânia Mulatinho Paiva, Ana Carolina Soares de Andrade, Marcela Côrte Real Fernandes, Ricardo Eugenio Varela Ayres de Melo;Ciências da Saúde;n
249030;Mapeamento de baralhos terapêuticos voltados para a Terapia Cognitivo-Comportamental na editora Sinopsys;Isabela de Lavor Rocha, Gustavo Almeida Silva, Isabelle Karolline Galvão Lira, Mayra Paola Ramos Vieira, Natália Bernardo da Silva, Jaine Souto de Albuquerque, Vivian Araújo Freitas, Heloísa Karmelina Carvalho de Sousa;Ciências Humanas;n
249053;A IMPORTÂNCIA DA FOMENTAÇÃO DAS PRÁTICAS EM AVALIAÇÃO PSICOLÓGICA NOS CURSOS DE PSICOLOGIA: UM RELATO DE EXPERIÊNCIA;Julia Katrine Lopes Bezerra, Matheus de Morais Clemente, Mikaele Cavalcante Cordeiro, Anael Robson Barbosa Ferreira, Andrielly de Souza Serpa, Heloísa Karmelina Carvalho de Sousa;Ciências Humanas;n
249084;SOB A ÉGIDE DOS ALGORITMOS: UMA ANÁLISE DO FILME ALIEN O 8º PASSAGEIRO;Otavio Alves de Brito Lucindo da Silva;Ciências Exatas e da Terra;n
249085;AUTÔMATOS CELULARES NA FORMULAÇÃO DE POLÍTICAS PÚBLICAS EM MOBILIDADE URBANA SUSTENTÁVEL;Otavio Alves de Brito Lucindo da Silva;Ciências Exatas e da Terra;n
249092;USO E OCUPAÇÃO DO SOLO DA BACIA HIDROGRÁFICA DO RIO BURANHÉM DO TRECHO DE EUNÁPOLIS – EXTREMO SUL DA BAHIA;João Gabriel de Moraes Pinheiro;Ciências Agrárias;n
249097;RASURAS  PEDAGÓGICAS  SOBRE O SABER  FREIREANO  E AS PRÁTICAS DE LEITURA NA EJA: (RE)DESCOBRINDO OLHARES MUITO ALÉM DA PANDEMIA ;DANIELA PAULA DE LIMA NUNES MALTA;Ciências Humanas;n
249098;O USO DO CUBO MÁGICO PARA O ENSINO DE FRAÇÕES NO ENSINO FUNDAMENTAL ANOS FINAIS: POSSIBILIDADES E DESAFIOS;Lívia Beatriz Alves de Moura, Jéssica Maria da Silva;Ciências Exatas e da Terra;n
249116;A POLÍTICA DE ASSISTÊNCIA SOCIAL: IMPACTOS DA OFENSIVA NEOLIBERAL NA GARANTIA DA PROTEÇÃO SOCIAL BÁSICA;Jhon Lenon Jardim da Silva, Maria Helena Cariaga;Ciências Humanas;n
249120;OS SENTIDOS SOBRE O IMAGINÁRIO E A CULTURA POPULAR NO ALTO DO MOURA, CARUARU, PE;Hidelbrando Lino de Albuquerque, Mário de Faria Carvalho;Linguística, Letras e Artes;n
249135;O ENSINO DO EIXO GRANDEZAS E MEDIDAS NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL I COM AUXÍLIO DA PLATAFORMA WORDWALL;Letícia Silva Cavalcante, Jéssica Maria da Silva, Lívia Beatriz Alves de Moura, Irami Buarque do Amazonas;Ciências Exatas e da Terra;n
249151;Viagem nos tempos verbais: uma proposta de jogo pedagógico com base na perspectiva do role-playing game;Guilherme da Silva Vale, Djael Martins Pedro da Silva, Fernando Augusto de Lima Oliveira;Linguística, Letras e Artes;n
249155;DIVULGAÇÃO CIENTÍFICA EM PSICOLOGIA NO MEIO DIGITAL: UM RELATO DE EXPERIÊNCIA;Kamila Alves Pimentel, Maria Lara da Silva Lima, Nathália Alves de Oliveira, Robertha Maria de Souza Silva, Heloísa Karmelina Carvalho de Sousa;Ciências Humanas;n
249158;RELAÇÃO DAS INFECÇÕES ODONTOGÊNICAS E A DIABETES MELLITUS.;Lucas Dantas Virginio, Joice Catiane Soares Martins, Maria Karoline Gomes Dantas, Rebeca de Siqueira Amorim, Julliana Carvalho Rocha, Victória Gonçalves de Queiroz, João Vítor de Lima Calado, André Vajgel Fernandes, Fabrício Souza Landim, Marconi Eduardo Sousa Maciel Santos, Renata de Albuquerque Cavalcanti Almeida, Fábio Andrey da Costa Araújo;Ciências da Saúde;n
249170;VIVÊNCIA DE UM ESTÁGIO NA SECRETARIA DA MULHER: UM RELATO DE EXPERIÊNCIA;Ariadny Robertta Teixeira da Silva, Érika de Sousa Mendonça;Ciências da Saúde;n
249183;GAIA: INTERVENÇÃO EM USO ABUSIVO DE ÁLCOOL A PARTIR DE MÍDIAS SOCIAIS;Kamila Alves Pimentel, Letícia Maria Macêdo Silva, Pablo Natan Macedo do Santos, Heloísa Karmelina de Sousa;Ciências Humanas;n
249196;CUBO DE RUBIK: REFLEXÕES E PROPOSTA DE APLICAÇÃO DIDÁTICA PEDAGÓGICA NO ENSINO DE VOLUME DE SÓLIDOS GEOMÉTRICOS VIA PRINCÍPIO DE CAVALIERI;Moises de Lima Silva, Samara Flaynne Ferreira Silva, Luciene Camila Cavalcanti;Ciências Exatas e da Terra;n
249204;INFESTAÇÃO POR DEMODEX SPP. E MALASSEZIA SPP. EM HAMSTER – RELATO DE CASO;Ivaldo Victor Mota de Siqueira, Lucas Azevedo dos Santos, Eduardo Henrique Amorim Silva, Gílcia Aparecida de Carvalho;Ciências Agrárias;n
249212;Bacurau sob a ótica da linguística textual: análise de elementos contextuais e intertextuais na obra ;Jhucyane Pires Rodrigues, Gislany Iale Nunes da Silva, Roberlane Brito Pereira, Fernanda Mikaelle da Silva;Linguística, Letras e Artes;n
249228;POTENCIAL TERATOGÊNICO DE COMPOSTOS HETEROCÍCLICOS NITROGENADOS NO ZEBRAFISH ;Jaiara Maria de Paula Silva, Josefa Gerlane da Silva, Jéssica Celerino dos Santos, Rafael David Souto de Azevedo, Sinara Mônica Vitalino de Almeida;Ciências da Saúde;n
249270;USO DE CONTRACEPTIVOS ORAIS RELACIONADOS AO SURGIMENTO DE EVENTOS TROMBÓTICOS ;Josielly Paula da Silva, Guilherme Henrique Pereira da Silva;Ciências da Saúde;n
249272;A PSICOSE INFANTIL: UMA CONSIDERAÇÃO ACERCA DA NOSOGRAFIA PSIQUIÁTRICA E DA PSICANÁLISE;Isabelle Karolinne Galvão Lira, João Ricard Pereira da Silva;Ciências Humanas;n
249290;OS PROCESSOS HISTÓRICOS DE AFIRMAÇÃO, DEMARCAÇÃO E RETOMADA DO TERRITÓRIO INDÍGENA KAPINAWÁ: SISTEMATIZAÇÃO DE FONTES DOCUMENTAIS E MEMÓRIA ORAL;Aylla Monteiro de Oliveira, Fernando da Silva Cardoso;Ciências Sociais Aplicadas;n
249293;ESTUDO DO MÉTODO DE REFINAMENTO RIETVELD COMO  FERRAMENTA DE ESTUDO DA ESTRUTURA CRISTALINA DA AMOSTRA Ca0,02Fe0,98Te0,8S0,2;Karciano José Santos Silva, José Albino Oliveira de Aguiar;Ciências Exatas e da Terra;n
249295;GAMEFICAÇÃO COMO ALTERNATIVA DIDÁTICA PARA O ENSINO DE QUÍMICA VERDE NO ENSINO FUNDAMENTAL ;Paulo Henrique Brito Figueiredo, Matheus dos Santos Rocha, Mateus Lima Coutinho;Ciências Exatas e da Terra;n
249302;PLASTIA GENGIVAL DO SORRISO: UM RELATO DE CASO;Hortência Vitória Silva Oliveira, Lurian Sthefani Carvalho Marttins, Eduardo Leite Piancó, Milena Lima da Silva, Ednaiara de Oliveira Souza, Jéssica Tainá Ferreira Neves, Sílvia Cristina Rodrigues Camêlo, Vanessa Lessa Cavalcanti de Araújo, Leógenes Maia Santiago, Eduardo Sérgio Donato Duarte Filho, Daniela Siqueira Lopes;Ciências da Saúde;n
249303;AVALIAÇÃO DO EFEITO DO LASER DE BAIXA INTENSIDADE NAS CIRURGIAS EM TECIDO GENGIVAL ATRAVÉS DA PERCEPÇÃO DE DOR PÓS-OPERATÓRIA E QUALIDADE DE CICATRIZAÇÃO ;Hortência Vitória Silva Oliveira, Mariana de Sá Carvalho, Milena Lima da Silva, Emanuelly Nunes Brito, Alcieros Martins da Paz, Daniela Siqueira Lopes, André Vajgel Fernandes, Lúcio Flávio Azevedo Donato, Leógenes Maia Santiago, Stefânia Jeronimo Ferreira, Marconi Eduardo Sousa Maciel Santos, Eduardo Sérgio Donato Duarte Filho;Ciências da Saúde;n
249326;ENSINO DE LÍNGUA PORTUGUESA EM TEMPOS PANDÊMICOS: RELATOS DE EXPERIÊNCIA COM O ENSINO FUNDAMENTAL II;Melk Andrade Costa;Linguística, Letras e Artes;n
249343;QUAIS OS CONTORNOS DO SEXO E DO GÊNERO? A FALÁCIA DO ARGUMENTO BIOLÓGICO E A VIOLÊNCIA TRANSFÓBICA;Vitoria Cynara da Silva Sousa, Fernando da Silva Cardoso;Ciências Sociais Aplicadas;n
